10 WRITE diskbuffer 000003FF
18 READ diskstatus 00000000
21 WRITE disksector 00000000
23 WRITE diskcmd 00000001
88 READ diskstatus 00000001
93 READ diskstatus 00000001
98 READ diskstatus 00000001
103 READ diskstatus 00000001
108 READ diskstatus 00000001
113 READ diskstatus 00000001
118 READ diskstatus 00000001
123 READ diskstatus 00000001
128 READ diskstatus 00000001
133 READ diskstatus 00000001
138 READ diskstatus 00000001
143 READ diskstatus 00000001
148 READ diskstatus 00000001
153 READ diskstatus 00000001
158 READ diskstatus 00000001
163 READ diskstatus 00000001
168 READ diskstatus 00000001
173 READ diskstatus 00000001
178 READ diskstatus 00000001
183 READ diskstatus 00000001
188 READ diskstatus 00000001
193 READ diskstatus 00000001
198 READ diskstatus 00000001
203 READ diskstatus 00000001
208 READ diskstatus 00000001
213 READ diskstatus 00000001
218 READ diskstatus 00000001
223 READ diskstatus 00000001
228 READ diskstatus 00000001
233 READ diskstatus 00000001
238 READ diskstatus 00000001
243 READ diskstatus 00000001
248 READ diskstatus 00000001
253 READ diskstatus 00000001
258 READ diskstatus 00000001
263 READ diskstatus 00000001
268 READ diskstatus 00000001
273 READ diskstatus 00000001
278 READ diskstatus 00000001
283 READ diskstatus 00000001
288 READ diskstatus 00000001
293 READ diskstatus 00000001
298 READ diskstatus 00000001
303 READ diskstatus 00000001
308 READ diskstatus 00000001
313 READ diskstatus 00000001
318 READ diskstatus 00000001
323 READ diskstatus 00000001
328 READ diskstatus 00000001
333 READ diskstatus 00000001
338 READ diskstatus 00000001
343 READ diskstatus 00000001
348 READ diskstatus 00000001
353 READ diskstatus 00000001
358 READ diskstatus 00000001
363 READ diskstatus 00000001
368 READ diskstatus 00000001
373 READ diskstatus 00000001
378 READ diskstatus 00000001
383 READ diskstatus 00000001
388 READ diskstatus 00000001
393 READ diskstatus 00000001
398 READ diskstatus 00000001
403 READ diskstatus 00000001
408 READ diskstatus 00000001
413 READ diskstatus 00000001
418 READ diskstatus 00000001
423 READ diskstatus 00000001
428 READ diskstatus 00000001
433 READ diskstatus 00000001
438 READ diskstatus 00000001
443 READ diskstatus 00000001
448 READ diskstatus 00000001
453 READ diskstatus 00000001
458 READ diskstatus 00000001
463 READ diskstatus 00000001
468 READ diskstatus 00000001
473 READ diskstatus 00000001
478 READ diskstatus 00000001
483 READ diskstatus 00000001
488 READ diskstatus 00000001
493 READ diskstatus 00000001
498 READ diskstatus 00000001
503 READ diskstatus 00000001
508 READ diskstatus 00000001
513 READ diskstatus 00000001
518 READ diskstatus 00000001
523 READ diskstatus 00000001
528 READ diskstatus 00000001
533 READ diskstatus 00000001
538 READ diskstatus 00000001
543 READ diskstatus 00000001
548 READ diskstatus 00000001
553 READ diskstatus 00000001
558 READ diskstatus 00000001
563 READ diskstatus 00000001
568 READ diskstatus 00000001
573 READ diskstatus 00000001
578 READ diskstatus 00000001
583 READ diskstatus 00000001
588 READ diskstatus 00000001
593 READ diskstatus 00000001
598 READ diskstatus 00000001
603 READ diskstatus 00000001
608 READ diskstatus 00000001
613 READ diskstatus 00000001
618 READ diskstatus 00000001
623 READ diskstatus 00000001
628 READ diskstatus 00000001
633 READ diskstatus 00000001
638 READ diskstatus 00000001
643 READ diskstatus 00000001
648 READ diskstatus 00000001
653 READ diskstatus 00000001
658 READ diskstatus 00000001
663 READ diskstatus 00000001
668 READ diskstatus 00000001
673 READ diskstatus 00000001
678 READ diskstatus 00000001
683 READ diskstatus 00000001
688 READ diskstatus 00000001
693 READ diskstatus 00000001
698 READ diskstatus 00000001
703 READ diskstatus 00000001
708 READ diskstatus 00000001
713 READ diskstatus 00000001
718 READ diskstatus 00000001
723 READ diskstatus 00000001
728 READ diskstatus 00000001
